Student_ID,Age,Gender,Attendance,Study_Hours,Department,Previous_Score,Final_Score
1001,20,Female,86.5,4.5,CSE,78,82
1002,21,Male,92.0,6.0,ECE,84,88
1003,20,Female,,3.5,CSE,72,75
1004,22,Male,74.0,,EEE,65,68
1005,21,,88.0,5.0,CSE,80,85
1006,20,Male,81.5,2.5,,70,73
1007,23,Female,95.0,7.0,ECE,91,94
1008,22,Male,69.0,1.5,EEE,62,65
1009,21,Female,83.5,4.0,CSE,76,80
1010,20,Male,,3.0,ECE,74,78
1011,22,Female,90.0,5.5,EEE,85,87
1012,21,Male,77.5,2.0,CSE,68,71
1013,20,Female,87.0,4.5,ECE,79,83
1014,23,Male,72.0,2.5,EEE,66,69
1015,22,Female,93.5,6.5,CSE,89,92
1015,22,Female,93.5,6.5,CSE,89,92
